Axial load,Potentiometer reading
28.4169,48.8072
28.4304,48.8054
28.4439,48.8036
28.4573,48.8018
28.4706,48.8000
28.4839,48.7982
28.4971,48.7964
28.5102,48.7946
28.5232,48.7928
28.5362,48.7910
28.5491,48.7892
28.5620,48.7874
28.5747,48.7856
28.5874,48.7838
28.6001,48.7820
28.6127,48.7802
28.6252,48.7784
28.6376,48.7766
28.6500,48.7747
28.6623,48.7729
28.6745,48.7711
28.6867,48.7693
28.6989,48.7675
28.7109,48.7657
28.7229,48.7639
28.7349,48.7621
28.7467,48.7603
28.7585,48.7585
28.7703,48.7567
28.7820,48.7549
28.7936,48.7531
28.8052,48.7513
28.8167,48.7495
28.8282,48.7477
28.8396,48.7459
28.8510,48.7441
28.8623,48.7423
28.8735,48.7405
28.8847,48.7387
28.8958,48.7369
28.9069,48.7351
28.9179,48.7333
28.9289,48.7315
28.9398,48.7297
28.9506,48.7279
28.9614,48.7261
28.9722,48.7243
28.9829,48.7225
28.9936,48.7206
29.0042,48.7188
29.0147,48.7170
29.0252,48.7152
29.0356,48.7134
29.0460,48.7116
29.0564,48.7098
29.0667,48.7080
29.0769,48.7062
29.0871,48.7044
29.0973,48.7026
29.1074,48.7008
29.1175,48.6990
29.1275,48.6972
29.1374,48.6954
29.1474,48.6936
29.1572,48.6918
29.1671,48.6900
29.1768,48.6882
29.1866,48.6864
29.1963,48.6846
29.2059,48.6828
29.2155,48.6810
29.2251,48.6792
29.2346,48.6774
29.2441,48.6756
29.2535,48.6738
29.2629,48.6720
29.2722,48.6702
29.2815,48.6683
29.2908,48.6665
29.3000,48.6647
29.3092,48.6629
29.3183,48.6611
29.3274,48.6593
29.3365,48.6575
29.3455,48.6557
29.3545,48.6539
29.3634,48.6521
29.3723,48.6503
29.3812,48.6485
29.3900,48.6467
29.3988,48.6449
29.4075,48.6431
29.4162,48.6413
29.4249,48.6395
29.4335,48.6377
29.4421,48.6359
29.4507,48.6341
29.4592,48.6323
29.4677,48.6305
29.4761,48.6287
29.4845,48.6269
29.4929,48.6251
29.5012,48.6233
29.5095,48.6215
29.5178,48.6197
29.5260,48.6179
29.5342,48.6160
29.5424,48.6142
29.5505,48.6124
29.5586,48.6106
29.5667,48.6088
29.5747,48.6070
29.5827,48.6052
29.5906,48.6034
29.5986,48.6016
29.6065,48.5998
29.6143,48.5980
29.6221,48.5962
29.6299,48.5944
29.6377,48.5926
29.6454,48.5908
29.6531,48.5890
29.6608,48.5872
29.6684,48.5854
29.6760,48.5836
29.6836,48.5818
29.6912,48.5800
29.6987,48.5782
29.7062,48.5764
29.7136,48.5746
29.7210,48.5728
29.7284,48.5710
29.7358,48.5692
29.7431,48.5674
29.7504,48.5656
29.7577,48.5637
29.7649,48.5619
29.7722,48.5601
29.7794,48.5583
29.7865,48.5565
29.7936,48.5547
29.8008,48.5529
29.8078,48.5511
29.8149,48.5493
29.8219,48.5475
29.8289,48.5457
29.8359,48.5439
29.8428,48.5421
29.8497,48.5403
29.8566,48.5385
29.8635,48.5367
29.8703,48.5349
29.8771,48.5331
29.8839,48.5313
29.8906,48.5295
29.8974,48.5277
29.9041,48.5259
29.9107,48.5241
29.9174,48.5223
29.9240,48.5205
29.9306,48.5187
29.9372,48.5169
29.9437,48.5151
29.9503,48.5132
29.9568,48.5114
29.9632,48.5096
29.9697,48.5078
29.9761,48.5060
29.9825,48.5042
29.9889,48.5024
29.9953,48.5006
30.0016,48.4988
30.0079,48.4970
30.0142,48.4952
30.0205,48.4934
30.0267,48.4916
30.0329,48.4898
30.0391,48.4880
30.0453,48.4862
30.0514,48.4844
30.0576,48.4826
30.0637,48.4808
30.0698,48.4790
30.0758,48.4772
30.0819,48.4754
30.0879,48.4736
30.0939,48.4718
30.0998,48.4700
30.1058,48.4682
30.1117,48.4664
30.1176,48.4646
30.1235,48.4628
30.1294,48.4609
30.1352,48.4591
30.1410,48.4573
30.1469,48.4555
30.1526,48.4537
30.1584,48.4519
30.1641,48.4501
30.1699,48.4483
30.1756,48.4465
30.1812,48.4447
30.1869,48.4429
30.1925,48.4411
30.1982,48.4393
30.2038,48.4375
30.2094,48.4357
30.2149,48.4339
30.2205,48.4321
30.2260,48.4303
30.2315,48.4285
30.2370,48.4267
30.2424,48.4249
30.2479,48.4231
30.2533,48.4213
30.2587,48.4195
30.2641,48.4177
30.2695,48.4159
30.2749,48.4141
30.2802,48.4123
30.2855,48.4104
30.2908,48.4086
30.2961,48.4068
30.3014,48.4050
30.3066,48.4032
30.3118,48.4014
30.3171,48.3996
30.3223,48.3978
30.3274,48.3960
30.3326,48.3942
30.3377,48.3924
30.3429,48.3906
30.3480,48.3888
30.3531,48.3870
30.3581,48.3852
30.3632,48.3834
30.3682,48.3816
30.3733,48.3798
30.3783,48.3780
30.3833,48.3762
30.3882,48.3744
30.3932,48.3726
30.3981,48.3708
30.4031,48.3690
30.4080,48.3672
30.4129,48.3654
30.4177,48.3636
30.4226,48.3618
